,Account,date,daily_pnl,trade_count,avg_trade_size,total_fees,win_rate,long_ratio,classification,value,frequency_segment,consistency_segment,cum_pnl,rolling_max,drawdown
0,0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,5089.718248587571,167.796055,0.0,0.0,Extreme Greed,76.0,Frequent,Consistent,0.0,0.0,0.0
1,0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,7976.664411764705,67.883615,0.0,0.0,Extreme Greed,90.0,Frequent,Consistent,0.0,0.0,0.0
2,0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,23734.5,94.93798300000002,0.0,0.0,Extreme Greed,83.0,Frequent,Consistent,0.0,0.0,0.0
3,0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,28186.666666666668,33.823995,0.0,1.0,Extreme Greed,94.0,Infrequent,Consistent,-21227.0,0.0,-21227.0
4,0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,17248.14814814815,104.62249,0.4444444444444444,0.4444444444444444,Extreme Greed,79.0,Infrequent,Consistent,-19623.9,0.0,-19623.9
5,0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,16058.536341463414,131.679967,0.0,1.0,Extreme Greed,77.0,Frequent,Consistent,-151894.9,0.0,-151894.9
6,0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,48561.68565217392,390.921553,0.0,0.0,Extreme Greed,84.0,Infrequent,Consistent,-151894.9,0.0,-151894.9
7,0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33,36736.36242424243,121.229992,0.0,1.0,Greed,72.0,Frequent,Consistent,-327505.900056,0.0,-327505.900056
8,0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,465,11410.954021505377,780.33644,0.04946236559139785,0.24086021505376345,Extreme Greed,77.0,Frequent,Consistent,-256111.93595800002,0.0,-256111.93595800002
9,0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,51,9400.588039215687,23.971493,0.5490196078431373,0.5490196078431373,Extreme Greed,76.0,Frequent,Consistent,-215893.33596000003,0.0,-215893.33596000003
10,0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,10,185847.0,92.923496,0.9,0.9,Greed,60.0,Infrequent,Consistent,-139183.33596000003,0.0,-139183.33596000003
11,0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,839,23593.019856972587,2355.038296,0.30512514898688914,0.4171632896305125,Fear,44.0,Frequent,Consistent,-38171.65029600002,0.0,-38171.65029600002
12,0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,531,10576.687156308852,704.19937,0.15630885122410546,0.20903954802259886,Greed,72.0,Frequent,Consistent,337448.619947,337448.619947,0.0
13,0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,210,26585.06338095238,700.101577,0.37142857142857144,0.37142857142857144,Neutral,54.0,Frequent,Consistent,381849.525747,381849.525747,0.0
14,0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,141,10161.056241134751,0.0,0.9361702127659575,0.9361702127659575,Neutral,46.0,Frequent,Consistent,412746.61444699997,412746.61444699997,0.0
15,0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,48,32032.5,0.0,0.3333333333333333,0.3333333333333333,Fear,43.0,Frequent,Consistent,467832.61444699997,467832.61444699997,0.0
